CSDP Network Summary Report for Elevation=0.0

Network path: D:\dsm2GisReference\csdpFiles\final\delta_2019Calib_navd88.cdn
DSM2 channels path: D:\delta\dsm2_v8.2beta_2_newGeomTest\common_input\channel_std_delta_grid_NAVD_20150129.inp
DSM2 output path: D:\delta\dsm2_v8.2beta_2_newGeomTest\studies\testGeom\output\historical_v82.hof

Channels.inp length: length specified for DSM2 in the DSM2 channels file above.
CSDP length: length calculated by the CSDP that will be used to replace the 'Channels.inp length'.
% change: the change in length CSDP vs Channels.inp
CSDP Average width
CSDP Volume: Channel volume calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Wetted Area: Wetted area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Surface Area: Surface area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using CSDP cross-sections
DSM2 Volume: Channel volume calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Wetted Area: Wetted area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Surface Area: Surface area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using virtual cross-sections
GIS 2m Volume: Channel volume calculated at specified elevation using CutFill operation with 2m DEM
GIS 2m Area: Channel 2D area calculated at specified elevation using CutFill operation with 2m DEM
GIS 10m Volume: Channel volume calculated at specified elevation using CutFill operation with 10m DEM
GIS 10m Area: Channel 2D area calculated at specified elevation using CutFill operation with 10m DEM
CSDP highest bottom elevation: The highest bottom elevation of all the cross-sections within the chanenl.
CSDP XS with no points: The indices of the cross-sections in the channel that have no points.
CSDP XS within 500.0 feet: The indices of the cross-sections in the channel that are within 500.0 feet of each other.
CSDP XS with Min area: The index of the cross-section in the channel that has the smallest area at the specified elevation
CSDP XS with Max area: The index of the cross-section in the channel that has the largest area at the specified elevation
CSDP XS with duplicate stations: The indices of the cross-sections in the channel that have duplicate station values.
CSDP XS with -dK: The indices of the cross-sections in the channel that have negative dConveyance at any elevation.
CSDP XS with -dK in intertidal zone: the indices of the cross-sections in the channel that have negative dConveyance in the intertidal zone.
(intertidal zone is assumed to be limited to the range -2.5 < Z < 17.5 ft NAVD88)

Channel	Channels.inp length	CSDP Length	% change	CSDP Average Width	CSDP Volume	CSDP Wetted Area	CSDP Surface Area	CSDP Max Area Ratio	DSM2 Volume	DSM2 Wetted Area	DSM2 Surface Area	DSM2 Max Area Ratio	GIS 2m Max Volume	GIS 2m Max Area	GIS 10m Max Volume	GIS 10m Max Area	DSM2-2m Vol	DSM2-10m Vol	2m Vol % diff	10m Vol % diff	CSDP Avg Width	2m Width Ratio	10m Width Ratio	2m Validity	10m Validity	Valid 2m Max Vol	Valid 10m Max Vol	DSM2-Valid 2m Max Vol	DSM2-Valid 10m Max Vol	Valid 2m Vol % diff	Valid 10m Vol % diff	CSDP Highest Bottom Elevation	CSDP XS with no points	CSDP XS within 500.0 feet	CSDP XS with Min area	CSDP XS with Max area	CSDP XS with duplicate stations	CSDP XS With -dk	CSDP XS with -dk in intertidal zone
77	7316.0	4646	-36	187	4219462.3	875319.1	869656.8	1.22	3808877.0	864956.6	859489.0	1.56	4632349.0	919323.2	4610090.0	914931.5	-823472.0	-801213.0	-17.8	-17.4	187.2	28.5	5.7	true	true	4632349.0	4610090.0	-823472.0	-801213.0	-17.8	-17.4	-5.86			0	1			
78	3185.0	3267	3	139	2146010.3	458567.8	454842.3	1.48	2280651.6	466069.1	462079.8	1.17	2406594.4	445108.8	2415351.9	446701.9	-125942.8	-134700.2	-5.2	-5.6	139.2	21.2	4.2	true	true	2406594.4	2415351.9	-125942.8	-134700.2	-5.2	-5.6	-7.70			0	1			
79	3457.0	3534	2	163	2566285.7	579987.3	576083.9	1.34	2471054.8	565105.3	561462.5	1.17	2662891.1	563468.6	2659463.7	555417.2	-191836.3	-188408.9	-7.2	-7.1	163.0	24.8	5.0	true	true	2662891.1	2659463.7	-191836.3	-188408.9	-7.2	-7.1	-6.79			0	2		2	2
80	5447.0	4493	-18	165	3389008.6	745183.7	739957.8	1.21	3499056.1	751019.5	745196.8	1.16	3638723.0	717220.2	3662275.1	711493.8	-139666.9	-163218.9	-3.8	-4.5	164.7	25.1	5.0	true	true	3638723.0	3662275.1	-139666.9	-163218.9	-3.8	-4.5	-5.60			0	1			
81	3857.0	3278	-15	241	8672451.9	808768.6	790853.9	1.50	8659385.2	815803.3	798374.0	1.09	8334788.3	766303.6	8398202.9	766389.7	324597.0	261182.3	3.9	3.1	241.3	36.8	7.4	true	true	8334788.3	8398202.9	324597.0	261182.3	3.9	3.1	-15.89			0	2		1	1
82	2609.0	2807	8	302	12358824.3	865852.4	848330.7	1.15	12360824.6	868899.6	851753.5	1.07	13267100.7	831920.3	13216086.2	832049.5	-906276.0	-855261.5	-6.8	-6.5	302.3	46.1	9.2	true	true	13267100.7	13216086.2	-906276.0	-855261.5	-6.8	-6.5	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	2	2,3	0	3			
83	5450.0	5461	0	1882	295249293.9	10320240.0	10275690.5	1.09	308419140.2	10892868.7	10855373.4	1.27	51116461.7	1472027.9	316643692.5	10350566.2	257302678.5	-8224552.3	503.4	-2.6	1881.7	286.8	57.4	false	true		316643692.5		-8224552.3		-2.6	-43.45			0	2			
84	3377.0	2723	-19	240	12884210.0	684749.0	653210.1	1.06	12956807.2	688088.4	656525.5	1.03	13185241.5	657372.9	13198210.5	659827.1	-228434.4	-241403.4	-1.7	-1.8	239.9	36.6	7.3	true	true	13185241.5	13198210.5	-228434.4	-241403.4	-1.7	-1.8	-25.05			0	1			
85	3377.0	3619	7	276	17796442.6	1041358.7	999755.1	1.23	17902451.7	1037995.4	995085.4	1.17	18140266.6	903392.6	18123820.3	902014.8	-237814.9	-221368.6	-1.3	-1.2	276.2	42.1	8.4	true	true	18140266.6	18123820.3	-237814.9	-221368.6	-1.3	-1.2	-26.11			0	2		2	2
86	5022.0	5019	-0	251	21887944.2	1303339.2	1259552.0	1.33	21981059.0	1306357.4	1262490.1	1.19	21980051.2	1294036.1	22008115.1	1303508.3	1007.9	-27056.0	0.0	-0.1	251.0	38.2	7.6	false	true		22008115.1		-27056.0		-0.1	-21.47			2	0			
88	4754.0	4980	5	350	25561324.7	1784747.9	1742139.0	1.17	25734070.5	1780848.7	1736308.5	1.16	22835461.5	1614628.1	22869777.7	1618890.6	2898609.0	2864292.7	12.7	12.5	349.9	53.3	10.7	true	true	22835461.5	22869777.7	2898609.0	2864292.7	12.7	12.5	-13.83			2	1			
89	4544.0	4543	-0	376	20180223.1	1727237.8	1708398.4	1.15	20708366.8	1703580.0	1682129.1	1.14	22359109.3	1691008.7	22326725.8	1686703.1	-1650742.5	-1618359.0	-7.4	-7.2	376.0	57.3	11.5	true	true	22359109.3	22326725.8	-1650742.5	-1618359.0	-7.4	-7.2	-13.40			1	2		2	
90	3722.0	3722	-0	325	19360599.1	1236713.2	1211310.9	1.06	19229424.0	1313415.7	1291588.7	1.04	20931308.4	1272163.8	20958764.2	1275522.2	-1701884.5	-1729340.2	-8.1	-8.3	325.5	49.6	9.9	true	true	20931308.4	20958764.2	-1701884.5	-1729340.2	-8.1	-8.3	-19.58			0	1		0	
91	4119.0	4119	-0	330	21625939.2	1380696.3	1357403.5	1.14	21584000.9	1359445.5	1334936.9	1.07	23736674.5	1340751.4	23801995.3	1340105.6	-2152673.6	-2217994.4	-9.1	-9.3	329.6	50.2	10.0	true	true	23736674.5	23801995.3	-2152673.6	-2217994.4	-9.1	-9.3	-22.21			0	2			
92	6169.0	4881	-21	399	27293876.8	1980170.7	1949635.0	1.53	27107639.2	2014552.7	1985098.8	1.50	27673144.0	1927383.9	27724248.8	1934272.8	-565504.8	-616609.6	-2.0	-2.2	399.4	60.9	12.2	true	true	27673144.0	27724248.8	-565504.8	-616609.6	-2.0	-2.2	-17.97			1	2			
94	4034.0	5240	30	529	31446707.3	2795594.3	2772818.3	1.50	32088901.9	2873243.9	2847244.8	1.32	33249546.2	2798657.1	33356083.5	2808301.5	-1160644.3	-1267181.6	-3.5	-3.8	529.2	80.7	16.1	true	true	33249546.2	33356083.5	-1160644.3	-1267181.6	-3.5	-3.8	-15.94			0	2		2	2
95	3850.0	3861	0	627	29843449.2	2457142.6	2422000.7	1.42	28709073.1	2429161.1	2385522.7	1.11	29815264.7	2332967.7	29792763.3	2318544.1	-1106191.6	-1083690.3	-3.7	-3.6	627.3	95.6	19.1	true	true	29815264.7	29792763.3	-1106191.6	-1083690.3	-3.7	-3.6	-18.82			1	0			
96	3741.0	3781	1	543	29782268.7	2084586.9	2054778.2	1.45	29349944.8	2128741.1	2102177.9	1.42	30592751.2	2085010.5	30637816.5	2105418.8	-1242806.3	-1287871.7	-4.1	-4.2	543.4	82.8	16.6	true	true	30592751.2	30637816.5	-1242806.3	-1287871.7	-4.1	-4.2	-17.63			1	2		0	0
97	3249.0	1482	-54	384	9461870.4	578232.4	568935.0	1.49	9365510.0	578426.1	569283.2	1.22	13434757.5	777239.7	13461192.8	804063.3	-4069247.5	-4095682.8	-30.3	-30.4	384.0	58.5	11.7	true	true	13434757.5	13461192.8	-4069247.5	-4095682.8	-30.3	-30.4	-25.48			2	0			
101	3950.0	4781	21	408	28886378.7	1979102.6	1948866.4	1.26	24893279.2	1673503.7	1640026.9	1.12	29799618.7	1886395.0	30117470.8	1910592.3	-4906339.5	-5224191.6	-16.5	-17.3	407.7	62.1	12.4	true	true	29799618.7	30117470.8	-4906339.5	-5224191.6	-16.5	-17.3	-18.11			1	0		2	
102	3927.0	3903	-1	284	10559170.0	1124789.0	1107694.6	1.79	13343097.9	1297882.3	1278581.7	1.77	11988684.4	1192769.3	12135080.8	1205556.8	1354413.5	1208017.1	11.3	10.0	283.8	43.3	8.7	true	true	11988684.4	12135080.8	1354413.5	1208017.1	11.3	10.0	-17.00			1	2			
104	3645.0	3644	-0	369	11577022.1	1363137.2	1345463.0	1.52	13992875.4	1519028.7	1503337.8	2.63	14875581.5	1438186.2	14946335.7	1444515.4	-882706.1	-953460.4	-5.9	-6.4	369.2	56.3	11.3	true	true	14875581.5	14946335.7	-882706.1	-953460.4	-5.9	-6.4	-10.21			1	0			
105	2947.0	2760	-6	662	24881650.6	1842526.0	1826783.8	1.11	22740771.1	1777009.0	1760013.5	1.12	25056419.4	1740049.0	24921444.5	1730835.1	-2315648.3	-2180673.5	-9.2	-8.8	661.9	100.9	20.2	true	true	25056419.4	24921444.5	-2315648.3	-2180673.5	-9.2	-8.8	-19.89			2	0		0,2	
106	3819.0	3843	1	612	33595109.4	2379754.4	2351740.7	1.21	34156713.1	2405816.0	2378418.6	1.02	33354437.2	2348639.9	33388048.6	2342224.6	802275.9	768664.5	2.4	2.3	612.0	93.3	18.7	true	true	33354437.2	33388048.6	802275.9	768664.5	2.4	2.3	-26.32			0	2		0,2	
107	4183.0	3581	-14	278	10178443.2	802333.3	780491.5	1.00	10181328.6	802373.4	780527.4	1.00	10140056.8	683249.3	12793237.7	894480.1	41271.8	-2611909.1	0.4	-20.4	278.4	42.4	8.5	false	true		12793237.7		-2611909.1		-20.4	-17.04			0	0			
108	7064.0	7830	11	457	50542805.1	3620294.6	3581357.3	1.97	50003332.1	3625579.8	3586679.5	1.43	53869637.6	3459689.7	53578088.3	3447677.2	-3866305.5	-3574756.2	-7.2	-6.7	457.4	69.7	13.9	true	true	53869637.6	53578088.3	-3866305.5	-3574756.2	-7.2	-6.7	-19.79			1	3		1	1
111	4050.0	6008	48	1048	70273440.4	6357080.1	6298949.2	1.37	69319694.3	6328128.9	6270560.7	1.36	76331746.8	5698107.3	76391931.8	5699485.1	-7012052.4	-7072237.5	-9.2	-9.3	1048.5	159.8	32.0	true	true	76331746.8	76391931.8	-7012052.4	-7072237.5	-9.2	-9.3	-21.60			1	2		2	2
114	3991.0	4013	1	464	19859784.3	1879984.7	1863036.2	3.73	20956144.8	1891241.4	1875060.1	2.86	21291080.4	1680330.9	21220778.9	1678092.0	-334935.6	-264634.1	-1.6	-1.2	464.2	70.7	14.1	true	true	21291080.4	21220778.9	-334935.6	-264634.1	-1.6	-1.2	-7.27		0,1	2	0			
115	3340.0	3697	11	567	29714081.9	2144057.4	2097641.9	1.59	29711574.7	2143890.2	2097467.8	1.23	29204562.8	1582766.9	29342880.7	1590904.4	507011.9	368694.0	1.7	1.3	567.4	86.5	17.3	true	true	29204562.8	29342880.7	507011.9	368694.0	1.7	1.3	-19.93			0	1		0	
116	3298.0	3299	0	496	18689979.3	1652045.2	1635476.9	1.17	18690523.9	1652438.4	1635859.6	1.10	18955298.7	1618072.5	18920437.6	1624272.5	-264774.8	-229913.7	-1.4	-1.2	495.8	75.6	15.1	true	true	18955298.7	18920437.6	-264774.8	-229913.7	-1.4	-1.2	-20.60			1	0		1	
117	8901.0	7826	-12	628	71029912.5	5071774.2	4914107.7	1.07	70562366.7	5513045.5	5339699.1	1.07	98472768.8	5767254.6	98629052.2	5796360.1	-27910402.2	-28066685.6	-28.3	-28.5	627.9	95.7	19.1	true	true	98472768.8	98629052.2	-27910402.2	-28066685.6	-28.3	-28.5	-21.90			1	2		1,2	1,2
118	12030.0	11869	-1	464	43851378.0	5576847.8	5512145.4	1.72	44418846.1	5642216.7	5577772.3	1.64	17646710.4	2040103.5	50402134.9	5421776.4	26772135.8	-5983288.8	151.7	-11.9	464.4	70.8	14.2	false	true		50402134.9		-5983288.8		-11.9	-16.46			3	2		3	3
119	12785.0	12921	1	672	142628648.1	8781920.0	8681432.6	1.12	142495689.5	8860567.1	8758219.5	1.10	157362457.6	8559410.2	157745990.0	8584210.3	-14866768.2	-15250300.6	-9.4	-9.7	671.9	102.4	20.5	true	true	157362457.6	157745990.0	-14866768.2	-15250300.6	-9.4	-9.7	-22.28			2	0			
120	5677.0	5602	-1	348	27654396.5	1987028.7	1950431.1	2.18	29188631.7	1916650.4	1875997.7	2.02	29314229.2	1980988.2	29249927.0	1975175.7	-125597.5	-61295.3	-0.4	-0.2	348.2	53.1	10.6	true	true	29314229.2	29249927.0	-125597.5	-61295.3	-0.4	-0.2	-12.17			2	3			
121	4792.0	5309	11	822	46663790.5	4380478.8	4363754.5	1.23	46789402.7	4380531.3	4223728.8	1.23	49776070.5	4447126.8	49972404.7	4530525.5	-2986667.8	-3183002.0	-6.0	-6.4	822.0	125.3	25.1	true	true	49776070.5	49972404.7	-2986667.8	-3183002.0	-6.0	-6.4	-11.93			2	1			
122	6142.0	5577	-9	692	37824594.7	3862568.7	3859087.8	1.10	38585210.5	4463731.1	4404501.4	1.05	37829158.5	3773134.5	38793840.3	3935281.8	756052.0	-208629.8	2.0	-0.5	692.0	105.5	21.1	true	true	37829158.5	38793840.3	756052.0	-208629.8	2.0	-0.5	-11.20			1	0			
123	7396.0	7737	5	251	35049880.8	1986916.8	1941629.0	2.87	35462273.5	1998631.5	1952718.6	1.51	38601881.5	2435267.8	37871463.4	2348683.0	-3139608.0	-2409189.9	-8.1	-6.4	251.0	38.2	7.6	true	true	38601881.5	37871463.4	-3139608.0	-2409189.9	-8.1	-6.4	-19.24			2	0			
124	7062.0	5764	-18	1164	69681193.9	6745435.6	6706692.1	1.41	70124932.7	6701393.2	6662948.2	1.35	72349078.7	6668924.9	72689455.7	6714520.8	-2224145.9	-2564522.9	-3.1	-3.5	1163.5	177.3	35.5	true	true	72349078.7	72689455.7	-2224145.9	-2564522.9	-3.1	-3.5	-18.81			2	3		0,1	0,1
125	4937.0	4685	-5	2	2374.0	7914.1	7744.1	Infinity	2467.9	8269.3	8091.4	Infinity	8944.3	11194.5	8645.6	5382.0	-6476.4	-6177.8	-72.4	-71.5	1.7	0.3	0.1	false	false							1.47			0	2		1	1
126	8246.0	8033	-3	7	28629.5	54653.0	52971.1	41.31	34855.1	68630.5	66630.4	1.79	50406.6	24541.7	24408.9	8611.1	-15551.5	10446.1	-30.9	42.8	6.6	1.0	0.2	false	false							-0.19			0	1		2	2
127	5267.0	5180	-2	4	11825.5	22822.9	22235.6	Infinity	20521.9	30758.5	29988.7	6.61	68270.0	41807.0	36992.0	15069.5	-47748.0	-16470.1	-69.9	-44.5	4.3	0.7	0.1	false	false							179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	2		1	3			
128	8409.0	8341	-1	37	357744.2	315411.8	312054.3	2.65	335604.6	302544.5	299510.7	1.57	190146.5	116293.2	149214.6	79652.9	145458.0	186390.0	76.5	124.9	37.4	5.7	1.1	true	false	190146.5		145458.0		76.5		-1.73			0	1			
129	5691.0	5963	5	49	618154.8	296631.2	290560.8	3.02	535486.0	283122.8	278284.2	1.18	599853.8	313660.0	492372.1	220659.9	-64367.8	43113.9	-10.7	8.8	48.7	7.4	1.5	true	false	599853.8		-64367.8		-10.7		-2.09			0	2			
130	7026.0	6713	-4	58	994330.7	394299.1	386626.9	1.83	1023914.3	395320.1	387032.2	1.34	1321881.1	399039.3	1316478.8	393958.7	-297966.8	-292564.6	-22.5	-22.2	57.6	8.8	1.8	true	false	1321881.1		-297966.8		-22.5		-3.83			0	2			
131	5640.0	5987	6	70	1147919.1	431015.2	421971.4	1.33	1067067.5	412439.6	404984.7	1.66	1209112.6	431675.4	1206831.6	419792.1	-142045.0	-139764.1	-11.7	-11.6	70.5	10.7	2.1	true	false	1209112.6		-142045.0		-11.7		-1.92			2	0		0	0
132	5447.0	5247	-4	101	859708.3	534590.1	531120.2	3.18	910899.3	556255.7	552814.4	1.86	1214110.6	533631.1	1191953.3	511285.3	-303211.2	-281053.9	-25.0	-23.6	101.2	15.4	3.1	true	true	1214110.6	1191953.3	-303211.2	-281053.9	-25.0	-23.6	-1.32			0	2			
133	6823.0	6735	-1	129	2380197.9	877327.3	868123.5	1.87	2724259.6	918803.0	908328.7	1.45	2947190.0	976501.0	2842326.8	891250.9	-222930.4	-118067.1	-7.6	-4.2	128.9	19.6	3.9	true	true	2947190.0	2842326.8	-222930.4	-118067.1	-7.6	-4.2	-4.11			0	1			
134	7627.0	7466	-2	198	5151472.9	1486465.0	1475962.4	1.07	4893246.9	1465175.0	1454953.1	1.03	6533218.1	1682354.5	6488955.9	1708230.9	-1639971.2	-1595708.9	-25.1	-24.6	197.7	30.1	6.0	true	true	6533218.1	6488955.9	-1639971.2	-1595708.9	-25.1	-24.6	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	1	1,2	2	0		0	
135	4427.0	4514	2	436	18705846.3	1987195.8	1965887.2	1.38	18695215.9	1985596.8	1964070.6	1.30	17485485.9	2027961.8	17426987.3	2030071.5	1209730.0	1268228.6	6.9	7.3	435.5	66.4	13.3	true	true	17485485.9	17426987.3	1209730.0	1268228.6	6.9	7.3	-15.68			1	2		1	
136	2266.0	2265	-0	366	8700633.2	841770.5	829287.0	1.10	9363541.8	871630.0	860866.9	1.02	9098133.0	836656.4	9081035.7	848195.3	265408.9	282506.1	2.9	3.1	366.1	55.8	11.2	true	true	9098133.0	9081035.7	265408.9	282506.1	2.9	3.1	-13.74			2	1			
137	3983.0	2760	-31	489	11988876.7	1365719.8	1348901.9	1.12	12169039.4	1340849.4	1323593.4	1.17	18543033.6	1691999.0	18502900.5	1688855.9	-6373994.1	-6333861.1	-34.4	-34.2	488.8	74.5	14.9	true	true	18543033.6	18502900.5	-6373994.1	-6333861.1	-34.4	-34.2	-16.70			0	1		0	0
138	7131.0	3859	-46	543	20386436.2	2126192.5	2094300.1	1.43	19298261.1	2111548.4	2082247.2	1.24	28304864.9	2457097.0	28498581.1	2471391.4	-9006603.8	-9200320.0	-31.8	-32.3	542.7	82.7	16.5	true	true	28304864.9	28498581.1	-9006603.8	-9200320.0	-31.8	-32.3	-21.89			1	0		0,1	0,1
139	2294.0	2775	21	661	20769897.1	1861762.6	1833618.0	1.16	20965422.7	1896894.4	1868570.9	1.13	21994995.9	1846913.0	21849586.9	1832015.8	-1029573.3	-884164.2	-4.7	-4.0	660.7	100.7	20.1	true	true	21994995.9	21849586.9	-1029573.3	-884164.2	-4.7	-4.0	-16.96			2	1		1	
140	6283.0	6284	0	218	23459389.1	1449479.6	1372129.6	1.80	24163958.7	1451544.7	1369806.4	1.04	25660547.1	1368866.7	25484302.6	1329341.7	-1496588.4	-1320343.9	-5.8	-5.2	218.3	33.3	6.7	true	true	25660547.1	25484302.6	-1496588.4	-1320343.9	-5.8	-5.2	-23.58			0	1			
141	3789.0	4346	15	287	19443230.1	1280344.8	1246448.7	1.24	19429870.0	1264096.5	1229781.9	1.22	19890870.1	1436550.1	19944537.2	1455279.3	-461000.1	-514667.2	-2.3	-2.6	286.8	43.7	8.7	true	true	19890870.1	19944537.2	-461000.1	-514667.2	-2.3	-2.6	-22.11			1	2		1	
142	5345.0	4691	-12	301	19886013.6	1451710.6	1412279.6	1.62	19165085.3	1335596.8	1293540.3	1.20	19000533.9	1365163.9	19244141.9	1377779.2	164551.4	-79056.6	0.9	-0.4	301.1	45.9	9.2	true	true	19000533.9	19244141.9	164551.4	-79056.6	0.9	-0.4	-13.49			2	0		2	
143	3379.0	3565	6	634	31365087.7	2308256.0	2258603.1	1.21	31223563.4	2344483.6	2297454.3	1.09	32347164.4	2031836.8	32338760.1	2027918.8	-1123601.0	-1115196.7	-3.5	-3.4	633.5	96.5	19.3	true	true	32347164.4	32338760.1	-1123601.0	-1115196.7	-3.5	-3.4	-18.39			2	0		0,2	0,2
144	2708.0	2673	-1	486	17277070.5	1323222.6	1298174.5	2.01	17230596.1	1314394.8	1289761.5	1.69	17553273.8	1237030.4	17737171.4	1252918.0	-322677.7	-506575.4	-1.8	-2.9	485.7	74.0	14.8	true	true	17553273.8	17737171.4	-322677.7	-506575.4	-1.8	-2.9	-22.11			2	0		1	
145	2818.0	2904	3	484	16157243.4	1436454.2	1405172.9	1.23	16228332.7	1444575.5	1413566.2	1.09	17703123.1	1343550.0	17651639.4	1348716.7	-1474790.4	-1423306.7	-8.3	-8.1	483.9	73.7	14.7	true	true	17703123.1	17651639.4	-1474790.4	-1423306.7	-8.3	-8.1	-19.92			1	0			
146	3053.0	3348	10	164	879310.8	549843.0	549287.9	1.66	922405.9	584141.7	583629.9	1.52	947299.3	540003.3	918520.4	538195.0	-24893.3	3885.5	-2.6	0.4	164.1	25.0	5.0	true	true	947299.3	918520.4	-24893.3	3885.5	-2.6	0.4	-2.35			2	1			
147	3804.0	3804	0	238	20358962.2	971114.9	907220.4	1.23	20235739.5	974301.3	911501.0	1.05	19967812.6	927116.2	19858057.2	913855.1	267927.0	377682.3	1.3	1.9	238.5	36.3	7.3	true	true	19967812.6	19858057.2	267927.0	377682.3	1.3	1.9	-31.41			1	0			
148	4423.0	4303	-3	499	26060641.0	2177319.1	2147048.3	1.12	25936963.3	2214023.5	2184483.2	1.12	29783557.9	2427733.1	29778151.2	2430488.6	-3846594.7	-3841187.9	-12.9	-12.9	498.9	76.0	15.2	true	true	29783557.9	29778151.2	-3846594.7	-3841187.9	-12.9	-12.9	-17.97			1	2			
149	4373.0	4388	0	553	35024957.2	2462822.8	2428763.2	1.80	36298108.6	2484281.5	2448668.2	1.58	31308575.7	2573261.0	31537707.6	2587641.6	4989532.8	4760400.9	15.9	15.1	553.4	84.3	16.9	true	true	31308575.7	31537707.6	4989532.8	4760400.9	15.9	15.1	-21.37			0	1			
150	4354.0	5540	27	501	46765185.8	2820532.7	2776368.5	1.08	46687992.1	2811514.8	2767618.3	1.00	45455140.1	2769250.1	45661752.3	2779239.0	1232851.9	1026239.8	2.7	2.2	501.1	76.4	15.3	true	true	45455140.1	45661752.3	1232851.9	1026239.8	2.7	2.2	-26.37			2	0	2		
151	4217.0	5101	21	544	58492564.1	2879761.1	2775910.5	1.50	58222861.9	2869261.0	2766747.6	1.10	25512825.3	1852682.5	25394295.6	1843856.1	32710036.6	32828566.3	128.2	129.3	544.2	82.9	16.6	true	true	25512825.3	25394295.6	32710036.6	32828566.3	128.2	129.3	-36.94			0	1			
152	3731.0	4273	15	527	34495979.4	2270060.6	2252997.2	1.01	38581442.4	2363760.9	2333075.1	1.05	39578126.6	2258352.3	39550388.8	2247502.3	-996684.2	-968946.4	-2.5	-2.4	527.3	80.4	16.1	true	true	39578126.6	39550388.8	-996684.2	-968946.4	-2.5	-2.4	-21.42			0	1		0	
153	3312.0	3306	-0	586	28650383.0	1958458.6	1937730.2	1.08	28147692.3	1990544.4	1971373.9	1.04	34295109.7	2240355.1	34385442.4	2239967.6	-6147417.5	-6237750.1	-17.9	-18.1	586.1	89.3	17.9	true	true	34295109.7	34385442.4	-6147417.5	-6237750.1	-17.9	-18.1	-18.86			1	0			
154	3980.0	3980	0	720	57336107.6	2904559.0	2865365.0	2.08	54657325.9	2778566.4	2739953.5	1.81	9680304.1	575352.0	24205635.5	1597362.8	44977021.8	30451690.4	464.6	125.8	719.9	109.7	21.9	false	true		24205635.5		30451690.4		125.8	-26.12			1	2		2	2
155	2616.0	2609	-0	293	10383272.8	579706.0	549591.2	1.00	10383743.8	579679.9	549567.4	1.00	null	null	12841908.1	570486.7		-2458164.3		-19.1	292.8		8.9		true		12841908.1		-2458164.3		-19.1	-27.28			0	0			
156	2593.0	3801	47	635	70812431.7	2449916.9	2414011.2	1.17	70686067.7	2449772.6	2414011.0	1.13	null	null	45281038.0	1757744.9		25405029.7		56.1	635.1		19.4		true		45281038.0		25405029.7		56.1	-43.36			1	0			
157	2775.0	2774	-0	936	26540746.8	1657055.0	1642019.4	1.00	26542479.2	1656875.2	1641839.3	1.00	null	null	32821199.7	1712536.5		-6278720.5		-19.1	936.1		28.5		true		32821199.7		-6278720.5		-19.1	-19.43			0	0			
158	2088.0	2088	0	727	3472296.2	965809.1	965340.5	1.00	3470213.9	965756.2	965289.0	1.00	null	null	9684774.0	898785.6		-6214560.0		-64.2	726.6		22.1		true		9684774.0		-6214560.0		-64.2	-7.19			0	0			
159	4306.0	4258	-1	883	68809186.0	3844635.1	3759215.2	1.11	69820222.3	3895645.8	3817947.4	1.08	null	null	81679122.4	4294796.1		-11858900.1		-14.5	882.9		26.9		true		81679122.4		-11858900.1		-14.5	-32.85			2	1		2	
160	6956.0	7607	9	439	34856397.6	3392894.6	3341744.9	1.73	33990474.3	3465416.1	3418166.3	1.09	16281871.0	1199012.3	39983762.4	3210871.4	17708603.3	-5993288.1	108.8	-15.0	439.3	66.9	13.4	false	true		39983762.4		-5993288.1		-15.0	-15.16			2	0		1	
161	10808.0	10834	0	976	217663577.7	10734472.2	10578700.0	1.15	217671020.7	10761941.6	10605696.9	1.12	null	null	239346120.8	12379561.4		-21675100.2		-9.1	976.5		29.8		true		239346120.8		-21675100.2		-9.1	-36.84			2	0		2	
162	4261.0	4261	-0	920	24086534.2	3929123.3	3919929.2	1.18	24145691.3	3893966.2	3884915.8	1.17	null	null	25701826.8	3629587.1		-1556135.5		-6.1	920.0		28.0		true		25701826.8		-1556135.5		-6.1	-14.27			2	0		0,1	
163	5058.0	5571	10	1011	124806803.2	5700520.1	5630786.1	1.07	124475284.4	5667931.2	5596364.7	1.06	null	null	121448489.4	5029970.5		3026795.0		2.5	1010.7		30.8		true		121448489.4		3026795.0		2.5	-37.12			0	2		1,2	
